company_location_city,investors,company_location_country,company_founded_on,series,funding_size_usd,date,company_name,company_founders,company_categories
Stockholm,"Creandum, Atomico, Greylock Partners",SWE,2011-05-01,a,5000000,2012-01-18,Wrapp,"Aage Reerslev, Magnus Hult, Carl Fritjofsson, Andreas Ehn, Hjalmar Winbladh","Gift Card, Curated Web, App Stores, Apps, Social Media, Facebook Applications, Mobile"
Stockholm,"Creandum, Atomico",SWE,2011-05-01,a,5500000,2011-11-14,Wrapp,"Aage Reerslev, Magnus Hult, Carl Fritjofsson, Andreas Ehn, Hjalmar Winbladh","Gift Card, Curated Web, App Stores, Apps, Social Media, Facebook Applications, Mobile"
Espoo,Finnvera Venture Capital,FIN,2009-12-01,,1678603,2015-01-27,Cabforce,"Andreas Hansson, Tuukka Yllahti, Tommi Holmgren","Travel, Automotive, Distribution, E-Commerce"
Kajaani,Sentica Partners,FIN,,,,2011-10-06,Puuilo,,Hardware + Software
Troms,Norinnova Invest,NOR,1994-01-01,,,2011-10-08,Dualog,,Software
Gothenburg,Industrifonden,SWE,2006-01-01,,4475888,2011-10-11,Heliospectra,,Clean Technology
,Myrian Capital,SWE,,,,2011-10-13,XMS Penvision,,Enterprise Software
Helsinki,Dawn Capital,FIN,2010-01-01,A,6203334,2015-02-27,LeadDesk,"Lauri Pukkinen, Olli Sirki","VoIP, Telecommunications, CRM, Automotive, Mobile, Enterprise Software"
Stockholm,,SWE,,a,,2013-05-21,Oncopeptides,,Biotechnology
Espoo,"Sitra Ventures, Conor Venture Partners",FIN,2012-03-01,,2120515,2013-06-11,Omegawave,,"Fitness, Mobile Health, Mobile, Health and Wellness"
Espoo,,FIN,2012-03-01,,1333522,2012-04-01,Omegawave,,"Fitness, Mobile Health, Mobile, Health and Wellness"
Stockholm,"Passion Capital, Index Ventures, , Creandum, , , ",SWE,2011-06-01,,740000,2012-03-20,Tripbirds,,"Travel, Social Travel"
Lund,,SWE,2010-01-01,,4011821,2014-08-13,Zaplox,,Security
Lund,"Industrifonden, LMK Venture",SWE,2010-01-01,,1503668,2011-11-01,Zaplox,,Security
Uppsala,Nxt2b,SWE,,,,2011-11-07,Vivolux,,Biotechnology
Helsinki,", , , True Ventures, ",FIN,,,1000000,2011-11-08,Tinkercad,,"CAD, Hardware + Software, 3D"
Stockholm,"Northzone, Conor Venture Partners",SWE,2009-01-01,b,3000000,2013-04-11,Sticky,Mathias Plank,"Brand Marketing, Advertising, Optimization"
Stockholm,Northzone,SWE,2009-01-01,a,3000000,2012-05-14,Sticky,Mathias Plank,"Brand Marketing, Advertising, Optimization"
Stockholm,"Bauer Media, SparkLabs Global Ventures",SWE,2008-11-01,A,6700000,2014-04-14,Lifesum,"Martin Whlby, Tove Westlund","Android, Personal Health, iPhone, Fitness, Social Media, Internet, Health and Wellness"
Stockholm,Industrifonden,SWE,1991-01-01,c,14429158,2013-10-03,Pharmalink,Bengt Julander,Biotechnology
Stockholm,Industrifonden,SWE,1991-01-01,,5092768,2012-01-04,Pharmalink,Bengt Julander,Biotechnology
Vilnius,,LTU,,,,2012-01-08,Labochema,,Biotechnology
Stockholm,Project A Ventures,SWE,2012-05-01,,1000000,2013-11-01,Tictail,"Birk Nilson, Kaj Drobin, Carl Waldekranz, Siavash Ghorbani",Curated Web
Stockholm,"Creandum, Balderton Capital, Thrive Capital, Red Swan Ventures",SWE,2012-05-01,a,8000000,2014-02-18,Tictail,"Birk Nilson, Kaj Drobin, Carl Waldekranz, Siavash Ghorbani",Curated Web
Stockholm,Balderton Capital,SWE,2012-05-01,,,2011-12-01,Tictail,"Birk Nilson, Kaj Drobin, Carl Waldekranz, Siavash Ghorbani",Curated Web
Stockholm,", , Balderton Capital, , ",SWE,2012-05-01,,1567560,2012-10-22,Tictail,"Birk Nilson, Kaj Drobin, Carl Waldekranz, Siavash Ghorbani",Curated Web
Helsinki,Lifeline Ventures,FIN,2011-06-01,,350000,2012-01-18,Playmysong,"Timo Kari, Rami Korhonen","Music, Social Media"
Helsinki,"Qualcomm Ventures, Nokia Growth Partners, Idinvest Partners",FIN,2011-01-01,,11000000,2013-07-29,Grand Cru,"Celine Pasula, Mikko Wilkman, Markus Pasula",Games
Helsinki,"Signia Venture Partners, Idinvest Partners, , , ",FIN,2011-01-01,,2000000,2012-01-01,Grand Cru,"Celine Pasula, Mikko Wilkman, Markus Pasula",Games
Helsinki,Lifeline Ventures,FIN,2011-01-01,,,2011-05-06,Grand Cru,"Celine Pasula, Mikko Wilkman, Markus Pasula",Games
,Industrifonden,SWE,,,4094366,2012-01-25,Footway,,E-Commerce
Skvde,,SWE,2008-01-10,,5000000,2011-01-01,InExchange,,E-Commerce
Stockholm,,SWE,2011-11-01,,700000,2014-06-01,GuidePal,Mattias Borg,Mobile
Stockholm,,SWE,2011-11-01,,650000,2012-06-01,GuidePal,Mattias Borg,Mobile
Stockholm,,SWE,2011-11-01,,3600000,2009-01-01,GuidePal,Mattias Borg,Mobile
Helsinki,"Conor Venture Partners, Finnish Industry Investment",FIN,2010-01-01,a,3900000,2013-11-13,Scoopshot,,"News, Journalism, Photography, Crowdsourcing, Mobile"
Helsinki,Finnish Industry Investment,FIN,2010-01-01,,5937300,2013-01-01,Scoopshot,,"News, Journalism, Photography, Crowdsourcing, Mobile"
Helsinki,,FIN,2010-01-01,,1200000,2013-07-16,Scoopshot,,"News, Journalism, Photography, Crowdsourcing, Mobile"
Helsinki,"Miston, Finnvera Venture Capital",FIN,2009-09-01,,1302500,2012-05-08,Mobile Backstage,,Mobile
Trondheim,"TeleVenture Management, Investinor",NOR,,,1515251,2014-02-25,Boost Communications,,Advertising
Trondheim,"Investinor, TeleVenture Management",NOR,,,4439820,2012-02-28,Boost Communications,,Advertising
Vantaa,,FIN,2002-01-01,,19427954,2014-09-16,AW-Energy,,"Renewable Energies, Clean Energy, Clean Technology"
Vantaa,"John Nurminen Oy, Sitra Ventures, Fortum, Aura Capital",FIN,2002-01-01,a,,2004-01-01,AW-Energy,,"Renewable Energies, Clean Energy, Clean Technology"
Stockholm,,SWE,2011-01-01,,2000000,2012-11-09,Kivra,Robert Wahlstrm,Curated Web
Helsinki,"Draper Fisher Jurvetson (DFJ), Qualcomm Ventures, Creathor Venture, DFJ Esprit, Finnvera Venture Capital",FIN,1995-02-21,,3000000,2013-04-18,Bitbar,,Mobile
Helsinki,Finnvera Venture Capital,FIN,1995-02-21,,,2012-03-12,Bitbar,,Mobile
Oslo,"Investinor, Northzone",NOR,2011-11-01,b,3400000,2013-09-30,Soundrop,,"Apps, Music, Mobile"
Oslo,Northzone,NOR,2011-11-01,a,3000000,2012-06-11,Soundrop,,"Apps, Music, Mobile"
Oslo,,NOR,1995-01-01,,23000000,2013-09-06,Thin Film Electronics ASA,,"NFC, Internet of Things"
Oslo,Invesco Perpetual,NOR,1995-01-01,,24000000,2013-11-01,Thin Film Electronics ASA,,"NFC, Internet of Things"
Oulu,,FIN,2009-11-15,,534480,2011-01-01,Savalanche,,"Advertising, Publishing, Digital Media, E-Commerce"
Oulu,,FIN,2009-11-15,,230496,2010-01-01,Savalanche,,"Advertising, Publishing, Digital Media, E-Commerce"
Oslo,"Entree Capital, Northzone",NOR,2010-01-01,a,6625990,2014-02-20,mCASH,,Mobile
rnskldsvik,"Industrifonden, SEB Venture Capital",SWE,1997-01-01,,,2012-04-16,Clavister,John Vestberg,Security
Helsinki,,FIN,2011-09-15,,330000,2011-09-15,Scoopinion,,"Reviews and Recommendations, News, Analytics"
Oslo,"Alliance Venture, Northzone",NOR,2011-06-05,,3500000,2014-06-12,Outracks Technologies,,"Graphics, Software"
Oslo,,NOR,2011-06-05,,,2013-08-26,Outracks Technologies,,"Graphics, Software"
Linkping,"Conor Venture Partners, Almi Invest",SWE,,,1481639,2012-04-30,AnaCatum,,Software
Helsinki,", , , , ",FIN,2011-01-01,,131310,2012-05-02,Cuutio Software,,Advertising
Turku,Lifeline Ventures,FIN,,,3496500,2012-05-09,Arctic Diagnostics,,"Health Diagnostics, Health Care"
Malm,Fouriertransform,SWE,,,,2012-05-10,CeDe Group,,Manufacturing
Helsinki,"Reaktor POLTE, Lifeline Ventures",FIN,2011-10-01,,1000000,2014-11-18,Sharetribe,,"Peer-to-Peer, Marketplaces, Collaborative Consumption, Software"
Helsinki,Reaktor POLTE,FIN,2011-10-01,,160000,2013-11-07,Sharetribe,,"Peer-to-Peer, Marketplaces, Collaborative Consumption, Software"
Helsinki,Start-Up Chile,FIN,2011-10-01,,40000,2012-02-15,Sharetribe,,"Peer-to-Peer, Marketplaces, Collaborative Consumption, Software"
Stockholm,Almi Invest,SWE,,,,2012-05-28,Infrafone,,Clean Technology
Solna,Almi Invest,SWE,,,,2012-05-28,OptoNova,,Manufacturing
Vilnius,European Union,LTU,2011-01-01,,380000,2012-02-01,Exacaster,Sarunas Chomentauskas,"News, Predictive Analytics, Reviews and Recommendations, Enterprises, Telecommunications, Machine Learning, Analytics, SaaS"
Vilnius,,LTU,2011-01-01,,150000,2011-04-01,Exacaster,Sarunas Chomentauskas,"News, Predictive Analytics, Reviews and Recommendations, Enterprises, Telecommunications, Machine Learning, Analytics, SaaS"
Helsinki,,FIN,2012-03-20,,395546,2014-07-08,Invesdor,"Petteri Poutiainen, Miikka Poutiainen, Jouni Leskinen, Lare Lekman, Timo Lappi, Lasse Mkel","FinTech, Startups, Finance, Crowdfunding"
Helsinki,"Alexandria Asset Management, Taaleritehdas Wealth Management",FIN,2012-03-20,,282123,2013-04-01,Invesdor,"Petteri Poutiainen, Miikka Poutiainen, Jouni Leskinen, Lare Lekman, Timo Lappi, Lasse Mkel","FinTech, Startups, Finance, Crowdfunding"
