company_location_city,investors,company_location_country,company_founded_on,series,funding_size_usd,date,company_name,company_founders,company_categories
Vsters,Almi Invest,SWE,2012-09-01,,,2012-11-07,Promobucket,,Enterprise Software
Helsingborg,Net Departo Ventures,SWE,2007-01-01,a,,2013-04-01,Retevo,Dan Nilsson,E-Commerce
Helsinki,"Invus, Lifeline Ventures",FIN,2007-01-01,A,17021128,2012-09-18,ZenRobotics,,Manufacturing
Stockholm,"Industrifonden, Zobito",SWE,2012-01-01,a,3006074,2013-05-22,Qwaya,"Fredrik Arnander, Per Made, Fredrik Skantze","Social Media Marketing, Advertising, Social Media, SaaS, Facebook Applications"
Stockholm,", , , Paua Ventures, InVenture",SWE,,A,1700000,2015-03-06,Detectify,,Security
,Spiltan,SWE,2005-01-01,a,,2013-06-01,Coolstuff,,E-Commerce
Malm,", , , ",SWE,2010-01-01,,2959180,2013-06-04,Crunchfish,,Mobile
Malm,,SWE,2010-01-01,,2522200,2012-09-01,Crunchfish,,Mobile
Stockholm,,SWE,2012-05-01,,715527,2014-11-10,Rentals United AB,,E-Commerce
Malm,,SWE,2011-01-01,,267000,2013-06-04,Tunaspot,"Alexander Liljengrd, Erik Stenberg, Andreas Nilsson",Music
Malm,", ",SWE,2011-01-01,,257320,2013-06-27,Tunaspot,"Alexander Liljengrd, Erik Stenberg, Andreas Nilsson",Music
Malm,,SWE,2012-08-01,,614900,2012-08-01,Eferio,Richard Murbeck,"Gift Card, Mobile Payments, Android, Web Development, App Stores, Retail, Mobile"
Helsinki,Inventure Oy,FIN,2012-02-08,,276375,2014-04-24,CBTec,"Sergey Gerasimenko, Sotiris Makrygiannis","Software, Mobility, Mobile"
Malm,,SWE,2006-01-01,,1800000,2014-05-19,Incentive,Rickard Hansson,Enterprise Software
Malm,,SWE,2006-01-01,a,455925,2012-10-01,Incentive,Rickard Hansson,Enterprise Software
Malm,Indigo Capital Partners,SWE,2005-01-01,,4121860,2014-05-13,Hvding,"Terese Alstin, Anna Haupt",Hardware
Malm,,SWE,2012-01-01,a,1232200,2012-06-01,Cloudfinder,,"CRM, Google Apps, Analytics, Search, Flash Storage, Enterprise Software"
Stockholm,Kima Ventures,SWE,2010-01-01,,179232,2011-03-01,Star Stable Entertainment AB,,Games
Helsingborg,,SWE,2012-05-01,,,2013-02-01,BIlprospekt,"Andre Heino, Jakob Werner, Niklas Silfverstrm",Automotive
Oulu,,FIN,2009-01-01,,2315880,2014-02-17,SingOn,"Samu Kernen, Risto Valkola",Games
Stockholm,,SWE,2011-02-01,,700000,2012-07-01,Helishopter,Andreas Hassellf,"Networking, Social Commerce, E-Commerce"
Lappeenranta,"Inventure Oy, ",FIN,2006-01-01,b,1523520,2012-11-13,Miradore,"Paul Palojrvi, Mika Liukko","Mobile Devices, Enterprise Software"
Helsinki,Finnvera Venture Capital,FIN,2011-05-01,,,2014-02-27,Etuma,,Enterprise Software
Helsinki,GS Group,FIN,2012-01-30,,257320,2014-04-03,Tellyo,"Jakub Majkowski, Justyna Kowalska, Mariusz Ostoja-Swierczynski, Kimmo Koivisto","Broadcasting, Video Streaming, Television, Social Television, Social Media, Video"
Stockholm,"D-Ax Corporate Venture Capital, RECAPEX",SWE,2011-02-01,A,,2014-04-22,Virtusize,,"Advertising, Apps, Technology, Retail, E-Commerce"
Vilnius,StartupHighway,LTU,,,,2013-01-01,MoboFree,,"Peer-to-Peer, Marketplaces, Social Buying, Social Commerce, Social Media, Mobile"
Vilnius,eVentures Africa Fund,LTU,,,,2014-02-12,MoboFree,,"Peer-to-Peer, Marketplaces, Social Buying, Social Commerce, Social Media, Mobile"
Stockholm,Creandum,SWE,2012-04-01,,1000000,2014-10-15,Instabridge,,"Wireless, Mobile"
Malm,,SWE,2011-01-01,,,2013-06-01,TopVisible,Jacob Lonroth,Advertising
Stockholm,,SWE,2011-01-02,A,1745000,2014-08-28,Billogram,"Jonas Suijkerbuijk, Cesar Sangchi",Enterprise Software
Stockholm,Edastra Venture Capital,SWE,2011-01-02,,1360000,2012-06-08,Billogram,"Jonas Suijkerbuijk, Cesar Sangchi",Enterprise Software
Stockholm,,SWE,2011-01-02,,150000,2010-09-10,Billogram,"Jonas Suijkerbuijk, Cesar Sangchi",Enterprise Software
Stockholm,Global Investment House,SWE,2011-09-01,a,19000000,2013-07-03,Magine,"Michael Werner, Mattias Hjelmstedt, Erik Wikstrom","Television, Games"
Stockholm,Industrifonden,SWE,,,1497447,2012-12-07,Avtal24,,"Service Providers, Legal, Governments"
Oslo,"Alliance Venture, Alden, Point Nine Capital, Creandum",NOR,2012-01-01,A,5300000,2015-02-05,Xeneta,"Vilhelm K. Vardoy, Thomas Sorbo, Patrik Berglund","Logistics, Shipping, Enterprises, Analytics, SaaS"
Oslo,"Creandum, Point Nine Capital",NOR,2012-01-01,,1640000,2014-03-02,Xeneta,"Vilhelm K. Vardoy, Thomas Sorbo, Patrik Berglund","Logistics, Shipping, Enterprises, Analytics, SaaS"
Oslo,"Creandum, Alden",NOR,2012-01-01,,1574280,2013-04-11,Xeneta,"Vilhelm K. Vardoy, Thomas Sorbo, Patrik Berglund","Logistics, Shipping, Enterprises, Analytics, SaaS"
Vilnius,StartupHighway,LTU,2012-07-01,,,2012-01-01,Dragdis,"Domas Sabockis, Karolis Malceviius, Eugenijus Jusas","Curated Web, Social Bookmarking, Finance"
Helsinki,,FIN,2012-07-12,,500000,2012-06-01,Boost My Ads,,"Advertising, Technology"
Helsinki,,FIN,2011-12-09,,154392,2013-11-19,Usetrace,"Eero Heino, Arto Vuori","Cloud Computing, Software, Internet"
Stockholm,Industrifonden,SWE,2006-01-01,,1800000,2015-01-27,Starcounter,Joachim Wester,Databases
,Tank Stream Ventures,NOR,2012-10-01,,500000,2013-10-20,Pocketbook,"Bosco Tan, Alvin Singh","Curated Web, Finance, Banking, Personal Finance"
Stockholm,", Sonen, Trdet, Boken",SWE,2013-01-02,,100000,2013-01-02,Sprinkle,"Johan Unger, Magnus Hultman, Dan Willstrand","Content Discovery, Content Syndication, Advertising, Video"
Norrkping,,SWE,2012-02-01,,150000,2012-12-01,Insportant,,Sports
,,SWE,2011-02-11,,0,2014-08-10,Xormis,"Dwayne Samuels, Shawn Mclean","Enterprise 2.0, Market Research, Software, Mobile"
Oslo,,NOR,2012-12-12,,400000,2013-05-31,ThumbAd,"Tom Roger Sokki, Tor Olav Haugen","Auctions, Advertising, Mobile"
Oslo,,NOR,2012-12-12,,200000,2012-12-28,ThumbAd,"Tom Roger Sokki, Tor Olav Haugen","Auctions, Advertising, Mobile"
Kaarina,"Finnish Industry Investment, Finnvera Venture Capital, Sofinnova Partners",FIN,,,2946020,2013-02-11,MetGen,,Biotechnology
Helsinki,,FIN,2012-04-01,,38730,2012-09-13,GTFO Ventures,,"Android, Sports, iPhone, Apps, Events, Mobile"
Helsinki,,FIN,2012-04-01,,53356,2012-06-20,GTFO Ventures,,"Android, Sports, iPhone, Apps, Events, Mobile"
Helsinki,,FIN,2012-04-01,,59145,2012-06-02,GTFO Ventures,,"Android, Sports, iPhone, Apps, Events, Mobile"
Gteborg,Fouriertransform,SWE,1999-05-01,,3895881,2013-02-21,Smart Eye,,Hardware + Software
Uppsala,"Hasso Plattner Ventures, , Creandum",SWE,2005-01-01,A,10000000,2014-06-30,Hansoft,,"Career Management, Tracking, Software, Document Management, Health and Wellness"
Oslo,,NOR,2013-03-01,,110000,2014-11-24,RelinkLabs,"Sigurd M. Gran, Stle F. Husby, Anders N. Bakke","Artificial Intelligence, Data Visualization, Business Intelligence, Information Technology, SaaS"
Oslo,,NOR,2013-03-01,,460000,2014-06-01,RelinkLabs,"Sigurd M. Gran, Stle F. Husby, Anders N. Bakke","Artificial Intelligence, Data Visualization, Business Intelligence, Information Technology, SaaS"
Oslo,"Brava Invest, Only Holding",NOR,2013-03-01,,570000,2013-11-26,RelinkLabs,"Sigurd M. Gran, Stle F. Husby, Anders N. Bakke","Artificial Intelligence, Data Visualization, Business Intelligence, Information Technology, SaaS"
Lund,,SWE,2000-01-01,,3300000,2015-02-12,NeuroVive Pharmaceutical,,Biotechnology
Slvesborg,Fouriertransform,SWE,1961-01-01,,28957627,2013-03-13,TitanX Engine Cooling,,Manufacturing
Tallinn,,EST,2013-01-01,,20000,2014-08-01,PromoRepublic,"Mikhail Baranovskiy, Maksym Pecherskyy, Valeriy Grabko","Social Media Management, Small and Medium Businesses, B2B, Promotional, Advertising"
Tallinn,,EST,2013-01-01,,60000,2014-05-15,PromoRepublic,"Mikhail Baranovskiy, Maksym Pecherskyy, Valeriy Grabko","Social Media Management, Small and Medium Businesses, B2B, Promotional, Advertising"
Tallinn,,EST,2013-01-01,,15000,2013-12-10,PromoRepublic,"Mikhail Baranovskiy, Maksym Pecherskyy, Valeriy Grabko","Social Media Management, Small and Medium Businesses, B2B, Promotional, Advertising"
Tallinn,,EST,2013-01-01,,30000,2013-07-01,PromoRepublic,"Mikhail Baranovskiy, Maksym Pecherskyy, Valeriy Grabko","Social Media Management, Small and Medium Businesses, B2B, Promotional, Advertising"
Tallinn,Eastlabs,EST,2013-01-01,,20000,2013-01-10,PromoRepublic,"Mikhail Baranovskiy, Maksym Pecherskyy, Valeriy Grabko","Social Media Management, Small and Medium Businesses, B2B, Promotional, Advertising"
Tallinn,FPI Innovation Fund,EST,2010-01-01,c,10000000,2013-03-27,ANF Technology,,Nanotechnology
Helsinki,Reaktor POLTE,FIN,2011-11-01,,1810000,2013-05-31,Tellybean,,"Curated Web, Finance, Television"
Helsinki,,FIN,2011-11-01,,1800000,2013-05-01,Tellybean,,"Curated Web, Finance, Television"
Helsinki,,FIN,2011-11-01,,1001372,2011-11-01,Tellybean,,"Curated Web, Finance, Television"
Stockholm,"Monkfish Equity, Industrifonden, Active Venture Partners, Howzat Partners",SWE,2011-09-01,B,1400000,2013-08-01,Barnebys - All Auctions in one place,"Gustaf Grapengiesser, Pontus Silfverstolpe, Christofer Ferreira Gomes, Christopher Barnekow","Art, Auctions, Search, Databases"
Stockholm,"Active Venture Partners, Industrifonden",SWE,2011-09-01,,1261800,2012-06-18,Barnebys - All Auctions in one place,"Gustaf Grapengiesser, Pontus Silfverstolpe, Christofer Ferreira Gomes, Christopher Barnekow","Art, Auctions, Search, Databases"
Jessheim,", Mikrojobb LTD, Jonas Ulveseth, Symbio Group",NOR,2013-03-27,,100000,2013-04-12,Needbox AS,Espen Hafell,"Curated Web, Advertising, Sales and Marketing, Services, Social Media"
Vilnius,Practica Capital,LTU,2013-01-01,,500000,2013-10-14,TRAFI,"Dr. Jurgis Pasukonis, Mantas Vizbaras, Martynas Gudonavicius","Startups, Apps, Transportation, Mobile, Public Transportation"
Helsinki,"Tekes, SanomaVentures, Open Ocean, Wellington Partners",FIN,2011-01-01,A,5500000,2014-07-15,Nosto,"Jani Luostarinen, Antti Pyhnen, Juha Valvanne","Marketing Automation, Reviews and Recommendations, SEO, Internet Marketing, Personalization, E-Commerce"
Helsinki,"Open Ocean, SanomaVentures",FIN,2011-01-01,,2800000,2013-04-17,Nosto,"Jani Luostarinen, Antti Pyhnen, Juha Valvanne","Marketing Automation, Reviews and Recommendations, SEO, Internet Marketing, Personalization, E-Commerce"
Tartu,", , ",EST,2013-01-01,,90000,2011-03-01,Weekdone,"Jri Kaljundi, Veli-Johan Veromann, Janek Hiis","Task Management, Project Management, Human Resources, Enterprise Software"
Tartu,", , , , Kima Ventures",EST,2013-01-01,,200000,2013-11-15,Weekdone,"Jri Kaljundi, Veli-Johan Veromann, Janek Hiis","Task Management, Project Management, Human Resources, Enterprise Software"
Stockholm,Alfvn & Didrikson,SWE,,,14000000,2014-08-15,Quinyx AB,,"Business Services, Cloud Data Services"
karp,"Appincloud Sweden AB, Digital Information AB, QURE AB, ",SWE,2012-07-04,,150000,2013-03-20,iRezQ,Tor Sjodin,"Mobile Emergency&Health, SEO, Mobile"
Tallinn,HAXLR8R,EST,2011-01-01,,25000,2012-02-01,Shaka,,Hardware + Software
Stockholm,Monterro,SWE,2006-01-01,,6500000,2013-05-07,Axiomatics,"Erik Rissanen, Babak Sadighi",Enterprise Software
Stockholm,Smedvig Capital,SWE,,c,3426978,2012-02-19,SelStor,,"Surveys, Security, Storage"
Stockholm,Smedvig Capital,SWE,,b,7162855,2011-02-11,SelStor,,"Surveys, Security, Storage"
Stockholm,Smedvig Capital,SWE,,a,28832170,2008-05-07,SelStor,,"Surveys, Security, Storage"
Helsinki,,FIN,2009-01-01,,5147,2013-05-19,Beibamboo,Nina Ignatius,E-Commerce
Stockholm,,SWE,2012-01-01,,199469,2013-05-17,Postify,Fredrik Schn,"Curated Web, Brand Marketing"
Stockholm,"Andra AP-fonden, International Finance Corporation, Industrifonden",SWE,1989-01-01,a,24000000,2013-05-29,Flexenclosure,,Web Hosting
Sarpsborg,", , , , ",NOR,2013-04-22,,500000,2013-09-01,Appsco,,"Marketplaces, Cloud Computing, Identity Management, Software, SaaS, PaaS"
Malm,"DN Capital, Creandum",SWE,2012-08-20,,182094,2013-06-04,Brisk.io,"Mikael Tellhed, Andreas Plsson, Alfred Beckman, Hampus Jakobsson",Enterprise Software
Helsinki,"Tekes, Lifeline Ventures, PROfounders Capital",FIN,2012-01-01,,1600000,2013-01-01,ProtoGeo,"Jukka Partanen, Juho Pennanen, Sampo Karjalainen",Mobile
Stockholm,"Edastra Venture Capital, GP Bullhound, MOOR",SWE,2011-12-01,,2200000,2015-01-16,Goo Technologies,,"Web Development, Software, Game, Internet, 3D"
Stockholm,MOOR,SWE,2011-12-01,,,2013-08-21,Goo Technologies,,"Web Development, Software, Game, Internet, 3D"
Lysaker,"Trygve Schiorbeck, Algot Invest, Radium Hospital Research Foundation",NOR,2010-01-01,a,3600000,2013-06-06,Targovax,,Biotechnology
Vilnius,Practica Capital,LTU,2011-01-01,,500000,2013-06-06,Adduplex,,Advertising
Oslo,,NOR,2009-01-01,a,3500000,2013-12-10,Zwipe,,Mobile
Lund,,SWE,2006-01-01,b,1821193,2013-06-01,Serstech,,Biotechnology
,GameFounders,LTU,,,18410,2012-08-01,Akira Mobile,,"SMS, Telecommunications, Media, Mobile"
Stockholm,", , , , , , ",SWE,2009-09-01,,2000000,2009-09-01,Znaptag,"Emil Hernvall, Erik Odmark, Miki Momen",Advertising
Tartu,,EST,2013-02-19,,30000,2013-02-19,GLOG,,Clean Technology
Trondheim,Innovation Norway,NOR,2013-02-01,,47050,2013-06-01,Kybernesis,"Stle Tevik, Ronny Anderssen","Game, Games"
Trondheim,HiST Grnderstipend,NOR,2013-02-01,,19175,2012-04-01,Kybernesis,"Stle Tevik, Ronny Anderssen","Game, Games"
Vilnius,"Practica Capital, Kima Ventures",LTU,2013-03-01,,257320,2014-03-05,TrackDuck,,"Reviews and Recommendations, Curated Web, Tracking, Web Design, Web Development"
Vilnius,Startup Sauna,LTU,2013-03-01,,13000,2013-06-18,TrackDuck,,"Reviews and Recommendations, Curated Web, Tracking, Web Design, Web Development"
Oslo,Environmental Technologies Fund,NOR,,,,2014-10-23,Kebony,,
Tampere,,FIN,2010-01-01,,220006,2013-06-22,Varaani Works,,Enterprise Software
Tallinn,,EST,2013-03-03,,20000,2014-09-16,MetricsCat,Vitali Mikulski,"Analytics, Mobile, Enterprise Software"
Linkping,SEB Venture Capital,SWE,2005-06-03,,,2013-06-25,Donya Labs,,Games
Storgatan 9,"Startkapital, Almi Invest, Norrlandsfonden",SWE,2007-01-01,,1000000,2013-06-20,Netrounds,,Web Hosting
Oslo,Norwegian Research Council,NOR,2007-01-01,,2547000,2012-11-12,Vaccibody,,Biotechnology
Oslo,,NOR,2007-01-01,,943077,2013-06-26,Vaccibody,,Biotechnology
Gothenburg,", Chalmers Innovation, ",SWE,2012-12-14,,300000,2014-02-07,YouPic,Navid Razazi,Photography
Gothenburg,Chalmers Innovation,SWE,2012-12-14,,150000,2012-11-01,YouPic,Navid Razazi,Photography
Gothenburg,,SWE,2008-01-01,,144800,2010-05-10,Optisort,,"Artificial Intelligence, Recycling, Clean Technology"
Oslo,Freyr Capital Partners,NOR,2009-01-01,,264094,2013-01-01,CargoSpotter,,"Shipping, Big Data, Big Data Analytics, Search"
Lund,"Sunstone Capital, LUBio Science",SWE,2010-01-01,,1000000,2013-07-05,Cantargia,,Biotechnology
,"Crdit Lyonnais Private Equity, Auriga Partners, Sofinnova Ventures, HealthCap, Apex Venture Partners",SWE,,B,22261405,2003-01-17,Orexo,,Biotechnology
,,SWE,,,50600000,2014-08-29,Orexo,,Biotechnology
Stockholm,Bitcoin Opportunity Fund,SWE,2013-07-10,,250000,2014-07-10,Safello,,Finance
Stockholm,", , ",SWE,2013-07-10,,600000,2014-02-17,Safello,,Finance
Tallinn,"TMT Investments, RubyLight, Adcash",EST,2013-05-15,,1739281,2014-12-18,Taxify,Markus Villig,"Fleet Management, Automotive, Taxis, Mobile, Public Transportation"
Tallinn,", , ",EST,2013-05-15,,100000,2014-04-23,Taxify,Markus Villig,"Fleet Management, Automotive, Taxis, Mobile, Public Transportation"
Uppsala,Karolinska Investment Fund,SWE,2011-06-01,,2059161,2013-07-15,OssDsign AB,,Biotechnology
Helsinki,,FIN,2011-01-01,,312515,2014-11-04,Smarp Oy,"Tommi Huovinen, Mikael Lauharanta, Roope Heinil","B2B, Social Media, Information Technology, SaaS"
Helsinki,,FIN,2011-01-01,,260227,2014-02-16,Smarp Oy,"Tommi Huovinen, Mikael Lauharanta, Roope Heinil","B2B, Social Media, Information Technology, SaaS"
Helsinki,,FIN,2011-01-01,,116840,2013-02-08,Smarp Oy,"Tommi Huovinen, Mikael Lauharanta, Roope Heinil","B2B, Social Media, Information Technology, SaaS"
Helsinki,,FIN,2011-01-01,,338868,2013-11-27,Smarp Oy,"Tommi Huovinen, Mikael Lauharanta, Roope Heinil","B2B, Social Media, Information Technology, SaaS"
Helsinki,,FIN,2011-01-01,,129679,2012-11-30,Smarp Oy,"Tommi Huovinen, Mikael Lauharanta, Roope Heinil","B2B, Social Media, Information Technology, SaaS"
,", ",NOR,2013-01-01,,661000,2013-10-06,Skylabs,"Nigel Ang, David Mah, Sam Hickmann",E-Commerce
Malm,,SWE,2011-04-02,,,2012-04-09,Pastry Group,"Magnus Noord, Magnus ng",E-Commerce
Malm,Spintop Ventures,SWE,2011-04-02,,225790,2012-11-01,Pastry Group,"Magnus Noord, Magnus ng",E-Commerce
Itharju,,FIN,2012-01-01,,1000000,2013-07-24,Rysto,"Claudio Erba, Jacopo Chirici, Massimo Fabrizio",Hospitality
Jnkping,", ",SWE,2013-05-09,,50000,2013-06-12,ALOSKO,,Education
Stockholm,", Sunstone Capital",SWE,2012-06-01,A,4000000,2014-09-11,Tink,"Daniel Kjelln, Fredrik Hedberg",Curated Web
Stockholm,"Paua Ventures, Earlybird Venture Capital, ",SWE,2013-01-01,,1700000,2013-09-04,Jumpstarter,"Daniel Marklund, Hannes Landeholm, Per Jonsson",Software
Stockholm,"MOOR, FOUNDER.org",SWE,2012-08-01,,3000000,2014-09-11,Volumental,"Miroslav Kobetski, Rasmus Gransson, Caroline Walerud, Alper Aydemir","Mass Customization, E-Commerce"
Vilnius,Practica Capital,LTU,2013-04-01,,200000,2014-09-15,PlateCulture,Reda Stare,"Marketplaces, Hospitality"
Stockholm,,SWE,2011-01-01,,2600000,2012-05-15,Shoutly,Henrik Wstlund,"Advertising, E-Commerce"
Helsinki,,FIN,2012-11-01,,0,2013-02-15,Reaktor POLTE,,"Venture Capital, Pre Seed"
Helsinki,", Reaktor POLTE",FIN,2013-02-01,,106000,2013-02-01,Avansera,Marko Lauhiala,"Groceries, Predictive Analytics, Analytics, Retail, Consumers, Internet Marketing"
Malm,"Zobito, Statliga Industrifonden",SWE,2004-01-01,,2959180,2013-08-13,InRiver,,Fashion
Tallinn,GameFounders,EST,2011-01-01,,20395,2013-02-01,TIME PLUS Q,,"Real Time, Mobile Games, Freemium, Games"
Stockholm,BDC Venture Capital,SWE,2008-04-01,,28751437,2014-11-04,Trustly Group,"Joel Jacobsson, Lukas Gratte, Carl Wilsson","FinTech, Payments, Finance, E-Commerce"
Lund,,SWE,2011-06-20,,150000,2014-07-01,Apptimate,"Andreas Ekengren, Fredrik Beckman","Unifed Communications, Messaging, Android, Cloud Security, Internet of Things, Mobile Security, iPhone, Developer APIs"
Lund,,SWE,2011-06-20,,,2014-08-01,Apptimate,"Andreas Ekengren, Fredrik Beckman","Unifed Communications, Messaging, Android, Cloud Security, Internet of Things, Mobile Security, iPhone, Developer APIs"
Lund,Innovationsbron Vst Startup AB,SWE,2011-06-20,,35000,2012-12-27,Apptimate,"Andreas Ekengren, Fredrik Beckman","Unifed Communications, Messaging, Android, Cloud Security, Internet of Things, Mobile Security, iPhone, Developer APIs"
Oslo,,NOR,2006-01-01,,,2013-08-25,Promon,Tom Lysemose Hansen,Software
Turku,Startupbootcamp,FIN,2012-01-01,,19615,2013-02-26,NurseBuddy,,Health Care
Turku,Reaktor POLTE,FIN,2012-01-01,,130000,2013-08-26,NurseBuddy,,Health Care
Vilnius,StartupHighway,LTU,2013-01-01,,,2013-01-01,Manodaktaras.lt,,Health Care
Vstra Frlunda,,SWE,1990-01-01,,308366,2010-11-09,Artimplant AB,,Manufacturing
Vstra Frlunda,,SWE,1990-01-01,,231949,2012-03-28,Artimplant AB,,Manufacturing
Porsgrunn,Saudi Aramco Energy Ventures,NOR,2011-01-01,,,2013-08-28,InflowControl,,"Engineering Firms, Oil & Gas"
Tallinn,", , , ",EST,2012-01-01,,463176,2014-03-18,Fleep,,Messaging
Tallinn,", ",EST,2012-01-01,,334516,2013-08-29,Fleep,,Messaging
Ballstad,,NOR,2012-03-07,,1260000,2015-01-19,ConceptoMed,,Health Care
Ballstad,,NOR,2012-03-07,,1530000,2014-08-23,ConceptoMed,,Health Care
Ballstad,,NOR,2012-03-07,,669577,2013-02-15,ConceptoMed,,Health Care
Ballstad,,NOR,2012-03-07,,804000,2013-05-15,ConceptoMed,,Health Care
Tampere,"Tekes, Nokia",FIN,2012-01-12,,66070,2012-05-01,Runteq,Tommi Ojala,"Big Data Analytics, Fitness, Internet of Things, Training, Sports, Health and Wellness"
Swedish,,SWE,2013-01-01,,,2013-08-30,Tasspass,,Curated Web
Stockholm,,SWE,,,,2013-09-02,Jascha,,Fashion
Malm,"HCN Group, Entreprenrskapital",SWE,2012-09-01,,320000,2014-05-01,Hoodin,"Jakob Jensen, Alexander Wietz, Marcus Emne",Online Travel
Malm,"Entreprenrskapital, Menmo Ventures, , ",SWE,2012-09-01,,155000,2013-10-01,Hoodin,"Jakob Jensen, Alexander Wietz, Marcus Emne",Online Travel
Helsinki,Reaktor POLTE,FIN,2010-11-01,,193000,2013-03-15,MyNextRun,"Emma Huovinen, Tatu Mkil, Sami Granfors","Marketplaces, Sports, E-Commerce"
Helsinki,,FIN,2010-11-01,,235000,2013-11-29,MyNextRun,"Emma Huovinen, Tatu Mkil, Sami Granfors","Marketplaces, Sports, E-Commerce"
Helsinki,"Reaktor POLTE, , , ",FIN,2010-11-01,,680000,2014-05-30,MyNextRun,"Emma Huovinen, Tatu Mkil, Sami Granfors","Marketplaces, Sports, E-Commerce"
Stockholm,"Adtoma, , Clearly AB",SWE,2013-07-01,,250000,2013-07-01,The Virtual Pulp Company,"Michal Michalowski, Ingemar Johnsson, Henrik Lohk","Classifieds, Advertising"
Helsinki,"Inventure Oy, InVenture",FIN,2012-04-01,,3900000,2014-09-01,Blueprint Genetics,,"Health Diagnostics, Biotechnology"
Espoo,", ",FIN,2003-01-01,,6947640,2013-09-21,Picosun,,Manufacturing
Helsinki,,FIN,2012-06-01,,780511,2013-06-01,EzyInsights,,Social Media
Helsinki,,FIN,2011-01-01,,71683,2010-01-01,Novogenie,,"Recruiting, Human Resources, Psychology, Self Development, Health and Wellness"
Tallinn,Adcash,EST,2011-09-01,,231588,2013-09-30,Ooolala,,E-Commerce
Lund,DreamIt Ventures,SWE,2013-02-01,,,2014-01-10,UserApp,"Timothy E. Johansson, Robin Orheden, Robin Yjord","Cloud Security, Software"
,Start-Up Chile,NOR,2011-01-01,,40000,2013-11-20,Tripcover,"Steve Sherlock, Desmond Sherlock","Cars, Curated Web, Apps, Online Rental, Insurance"
Stockholm,,SWE,2013-01-01,,2392433,2014-06-03,Toborrow,"Sofie Lundstrm, Eric Spongberg, Lyndon Dodd, Andreas Thorstensson","Marketplaces, Finance, Crowdfunding"
Vilnius,,LTU,2013-07-02,,,2013-07-01,Vetiary,,Pets
Espoo,,FIN,2012-01-01,,,2014-08-13,PulseOn,,Software
Espoo,", ",FIN,2012-01-01,,1286600,2013-10-29,PulseOn,,Software
Oulu,Butterfly Ventures,FIN,2012-10-25,,,2014-11-17,Augumenta,"Damien Douxchamps, Tero Aaltonen, Peter Antoniac","Human Computer Interaction, Internet of Things, Interface Design, Computer Vision, Software, Augmented Reality"
Helsinki,Vision+,FIN,2013-01-01,,650000,2013-11-07,AddSearch,"Mikko Nurminen, Pasi Ilola, Antti Ala-Ilkka","Enterprise Search, Search"
Oslo,,NOR,,,35000,2012-12-01,i4.ms,Marius Dima,"Big Data, Cloud Data Services, Enterprise Software"
Espoo,,FIN,2013-04-01,,102824,2014-07-03,Ambronite,,"Nutrition, Organic, Health Care"
Espoo,,FIN,2012-12-01,,13875,2014-03-10,MyKontiki (Elmysluotain Ltd),"Mehul Gurjar, Olli Laasanen, Adeel Rasheed, Pasi Penttil, Ari Raatikainen","Ticketing, Adventure Travel, Leisure, Mobile Commerce, Travel, Mobile Games"
Espoo,,FIN,2012-12-01,,31187,2012-12-12,MyKontiki (Elmysluotain Ltd),"Mehul Gurjar, Olli Laasanen, Adeel Rasheed, Pasi Penttil, Ari Raatikainen","Ticketing, Adventure Travel, Leisure, Mobile Commerce, Travel, Mobile Games"
Tallinn,", SmartCap AS, EstBAN, United Partners",EST,2012-09-01,,600000,2014-01-16,Cloutex,"Ivo Hindreus, Soren Hejnfelt",Software
Helsinki,GameFounders,FIN,,,13259,2013-08-01,Cute Attack,,"Startups, Game, Mobile"
Helsinki,Vision Plus,FIN,2011-01-01,,344786,2013-10-25,Music Kickup,"Perttu Sutinen, Antti Silventoinen","Music, Distribution"
Helsinki,,FIN,2011-01-01,,689493,2011-11-22,Music Kickup,"Perttu Sutinen, Antti Silventoinen","Music, Distribution"
Tallinn,,EST,2013-01-01,,13000,2013-04-16,Lingvist,"Tanel Hiir, Andres Koern, Mait Muntel, Ott Jalakas","Big Data, Language Learning, Education"
Tallinn,,EST,2013-01-01,,70000,2013-07-05,Lingvist,"Tanel Hiir, Andres Koern, Mait Muntel, Ott Jalakas","Big Data, Language Learning, Education"
Tallinn,"SmartCap AS, Inventure Oy",EST,2013-01-01,,1286600,2014-04-01,Lingvist,"Tanel Hiir, Andres Koern, Mait Muntel, Ott Jalakas","Big Data, Language Learning, Education"
Helsinki,"Gorilla Ventures Oy, Finnvera Venture Capital",FIN,2012-01-01,,796139,2015-02-03,Exaget,Shankar Meembat,"Advertising Networks, Internet Radio Market, Personalization, Mobile"
Helsinki,Angels Den,FIN,2012-01-01,,527571,2014-08-29,Exaget,Shankar Meembat,"Advertising Networks, Internet Radio Market, Personalization, Mobile"
Tallinn,,EST,2012-01-01,,100000,2014-03-01,Like a Local,"lane Vilumets, Kalev Klaase","Travel, Online Reservations, Social Media"
Oulu,"Booster, ArcticStartup",FIN,2009-01-01,,800000,2014-05-15,Fantastec,Juha Visnen,"Educational Games, Online Gaming, Mobile Games, Games"
Helsinki,"Alma Media, ",FIN,2009-01-01,,578970,2014-03-20,Booxmedia,,"Video Streaming, Television, Cloud Data Services"
Espoo,Reaktor POLTE,FIN,,,237912,2013-09-01,netMedi,,
